               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 133,             0.67752,             0.38948,              1.2869,             0.99966,                   1,               0.995,             0.89551,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,             0.69032,             0.39833,              1.2953,             0.99968,                   1,               0.995,             0.89822,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,             0.69979,             0.40271,              1.2872,             0.99965,                   1,               0.995,              0.9022,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,             0.68652,             0.39123,              1.2854,             0.99873,                   1,               0.995,             0.89103,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,             0.67347,             0.39035,              1.2768,             0.99887,                   1,               0.995,              0.9019,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,             0.68202,             0.38999,               1.292,             0.99923,                   1,               0.995,             0.89665,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,              0.6873,              0.4039,              1.2843,             0.99947,                   1,               0.995,             0.89779,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,             0.67847,             0.39267,              1.2914,             0.99958,                   1,               0.995,             0.90017,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,             0.67566,             0.38672,              1.2686,             0.99937,                   1,               0.995,             0.88417,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,             0.67467,             0.38366,              1.2809,             0.99966,                   1,               0.995,             0.87281,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,             0.68386,             0.39339,              1.2563,             0.99906,                   1,               0.995,             0.88785,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,             0.67292,             0.38513,               1.274,             0.99937,                   1,               0.995,             0.88649,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,             0.68773,             0.39035,              1.2766,             0.99959,                   1,               0.995,             0.89003,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,             0.67686,             0.38071,              1.2796,             0.99971,                   1,               0.995,               0.888,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,             0.67688,               0.385,              1.2676,             0.99962,                   1,               0.995,             0.90368,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,             0.66737,             0.38438,              1.2613,             0.99959,                   1,               0.995,             0.88571,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,             0.66237,             0.38419,              1.2617,             0.99968,                   1,               0.995,             0.90453,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,             0.65028,             0.38249,              1.2699,             0.99969,                   1,               0.995,             0.89625,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              0.6727,             0.38187,              1.2749,              0.9997,                   1,               0.995,             0.91001,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 152,             0.65842,             0.38066,              1.2713,             0.99951,                   1,               0.995,             0.88704,                   0,                   0,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,             0.67162,             0.38304,              1.2752,             0.99956,                   1,               0.995,             0.87685,                   0,                   0,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,              0.6484,             0.37483,               1.258,              0.9996,                   1,               0.995,             0.89437,                   0,                   0,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,             0.66609,             0.38872,              1.2884,             0.99958,                   1,               0.995,             0.89716,                   0,                   0,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,             0.67901,             0.39263,              1.2582,             0.99969,                   1,               0.995,             0.91372,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                 157,             0.66502,              0.3807,              1.2603,             0.99969,                   1,               0.995,             0.90745,                   0,                   0,                   0,           0.0069112,           0.0069112,           0.0069112
